datetime,tot_orders,tot_gross_revenue,tot_cogs,tot_order_marketplace,tot_order_website,tot_order_b2b,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,weather_code,weather_description,cloud_cover,sunshine_duration,is_weekend,day_of_week,tot_sessions,product_margin,AOV,cvr,revenue_per_session,lag_weekday_tot_orders,lag_weekday_tot_gross_revenue,lag_weekday_AOV,lag_weekday_cvr,lag_weekday_revenue_per_session,lag_1_tot_orders,lag_1_tot_gross_revenue,lag_1_AOV,lag_1_cvr,lag_1_revenue_per_session,lag_24_tot_orders,lag_24_tot_gross_revenue,lag_24_AOV,lag_24_cvr,lag_24_revenue_per_session,lag_168_tot_orders,lag_168_tot_gross_revenue,lag_168_AOV,lag_168_cvr,lag_168_revenue_per_session,lag_720_tot_orders,lag_720_tot_gross_revenue,lag_720_AOV,lag_720_cvr,lag_720_revenue_per_session
2023-01-02 02:00:00+00:00,1,50.9,10.79,0,1,0,7.498,73.92616,0.0,0.0,0.0,3.0,cloudy,100.0,0.0,False,Monday,57,50.688015717092334,50.9,0.017543859649122806,0.8929824561403509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 03:00:00+00:00,1,15.12,1.38,0,1,0,7.348,74.42373,0.0,0.0,0.0,3.0,cloudy,100.0,0.0,False,Monday,81,15.028730158730157,15.12,0.012345679012345678,0.18666666666666665,0.0,0.0,0.0,0.0,0.0,1.0,50.9,50.9,0.017543859649122806,0.8929824561403509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 04:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.12,15.12,0.012345679012345678,0.18666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 05:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 06:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 07:00:00+00:00,3,1993.8500000000001,550.53,0,3,0,7.298,70.81006,0.0,0.0,0.0,1.0,mainly_sunny,33.6,0.0,False,Monday,98,1993.5738859492942,664.6166666666667,0.030612244897959183,20.345408163265308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 08:00:00+00:00,0,0.0,0.0,0,0,0,,,,,,,,,,True,,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1993.8500000000001,664.6166666666667,0.030612244897959183,20.345408163265308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 09:00:00+00:00,1,322.02,90.62,0,1,0,6.8980002,70.73101,0.0,0.0,0.0,1.0,mainly_sunny,26.7,0.0,False,Monday,72,321.73858890752126,322.02,0.013888888888888888,4.4725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.84,21.84,0.008130081300813009,0.1775609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 10:00:00+00:00,1,9.13,0.92,0,1,0,7.598,69.374535,0.0,0.0,0.0,1.0,mainly_sunny,33.0,115.29477,False,Monday,126,9.029233296823659,9.13,0.007936507936507936,0.07246031746031746,0.0,0.0,0.0,0.0,0.0,1.0,322.02,322.02,0.013888888888888888,4.4725,2.0,436.23,218.115,0.03636363636363636,7.931454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 11:00:00+00:00,1,41.9,7.75,0,1,0,9.448,66.87107,0.0,0.0,0.0,1.0,mainly_sunny,44.7,3600.0,False,Monday,151,41.715035799522674,41.9,0.006622516556291391,0.2774834437086093,0.0,0.0,0.0,0.0,0.0,1.0,9.13,9.13,0.007936507936507936,0.07246031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
