customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_Score,RFM_Segment
12230,362,1.0,47.88,1,3,2,132,At Risk
12232,59,1.0,28.0,4,3,2,432,Potential Loyalist
12235,357,1.0,1958.61,1,3,5,135,At Risk
12236,34,1.0,132.23,5,3,4,534,Loyal Customers
12237,195,1.0,150.0,2,3,4,234,At Risk
12238,290,1.5,183.93,1,5,5,155,At Risk
12239,74,1.0,134.7,4,3,4,434,Loyal Customers
12241,174,1.0,73.03,2,3,3,233,At Risk
12242,142,1.0,45.64,3,3,2,332,Frequent Low Spenders
12243,68,1.0,186.8,4,4,5,445,Loyal Customers
12251,188,1.0,15.0,2,4,1,241,At Risk
12252,104,1.0,71.73,3,4,3,343,Others
12253,156,1.0,74.91,2,4,3,243,At Risk
12254,261,1.0,245.53,1,4,5,145,At Risk
12255,314,1.0,21.71,1,4,1,141,At Risk
12257,19,1.0,174.6,5,4,4,544,Champions
12263,35,1.0,801.9100000000001,5,4,5,545,Champions
12265,34,1.0,20.0,5,4,1,541,Potential Loyalist
12268,47,1.0,469.4,4,4,5,445,Loyal Customers
12269,183,1.0,47.59,2,4,2,242,At Risk
12270,109,1.0,3681.1,3,4,5,345,Others
12271,304,1.0,21.84,1,4,1,141,At Risk
12272,228,1.0,34.43,2,4,2,242,At Risk
12274,278,1.0,38.0,1,4,2,142,At Risk
12276,186,1.0,10.0,2,4,1,241,At Risk
12277,125,1.0,178.0,3,4,4,344,Others
12281,134,1.0,34.9,3,4,2,342,Frequent Low Spenders
12285,55,1.0,47.28,4,4,2,442,Potential Loyalist
12295,360,1.0,249.48,1,4,5,145,At Risk
12296,14,1.0,10.0,5,4,1,541,Potential Loyalist
12298,11,1.0,113.22,5,4,4,544,Champions
12299,41,1.0,20.0,4,4,1,441,Potential Loyalist
12300,112,1.0,150.0,3,4,4,344,Others
12301,104,1.0,150.0,3,4,4,344,Others
12302,135,1.0,34.1,3,4,2,342,Frequent Low Spenders
12303,74,1.0,267.47,4,4,5,445,Loyal Customers
12305,3,1.0,35.8,5,4,2,542,Potential Loyalist
12312,233,1.0,101.7,1,4,4,144,At Risk
12313,90,1.0,63.26,3,4,3,343,Others
12316,153,1.0,50.0,3,4,2,342,Frequent Low Spenders
12317,61,1.0,294.76,4,4,5,445,Loyal Customers
12318,109,1.0,20.93,3,4,1,341,Frequent Low Spenders
12324,15,1.0,194.63,5,4,5,545,Champions
12325,73,1.0,65.8,4,4,3,443,Loyal Customers
12326,66,1.0,111.95,4,4,4,444,Loyal Customers
12327,24,1.0,64.6,5,4,3,543,Loyal Customers
12331,36,1.0,98.74,5,4,4,544,Champions
12338,307,1.0,23.52,1,4,1,141,At Risk
12340,96,1.0,85.0,3,4,3,343,Others
12341,120,1.0,30.0,3,4,2,342,Frequent Low Spenders
